Date,Hours,Price (EUR/MWh),Traded volumes (MWh)
2012.01.26.,H12,"95,00","561,60"
2012.01.26.,H13,"95,00","545,30"
2012.01.26.,H14,"95,00","574,40"
2012.01.26.,H15,"95,00","570,80"
2012.01.26.,H16,"90,01","509,50"
2012.01.26.,H17,"108,88","563,60"
2012.01.26.,H18,"126,05","527,70"
2012.01.26.,H19,"119,01","506,20"
2012.01.26.,H20,"105,01","520,70"
2012.01.26.,H21,"95,00","666,70"
2012.01.26.,H22,"60,01","732,60"
2012.01.26.,H23,"58,08","757,00"
2012.01.26.,H24,"55,01","686,20"
2012.01.27.,H1,"60,00","617,70"
2012.01.27.,H2,"39,01","732,00"
2012.01.27.,H3,"33,94","728,00"
2012.01.27.,H4,"31,76","731,10"
2012.01.27.,H5,"33,00","714,80"
2012.01.27.,H6,"60,00","625,30"
2012.01.27.,H7,"76,31","582,20"
2012.01.27.,H8,"66,08","709,40"
2012.01.27.,H9,"95,00","535,00"
2012.01.27.,H10,"97,99","523,60"
2012.01.27.,H11,"95,01","537,10"
2012.01.27.,H12,"84,99","532,60"
2012.01.27.,H13,"98,00","512,50"
2012.01.27.,H14,"78,01","553,90"
2012.01.27.,H15,"66,09","530,80"
2012.01.27.,H16,"60,01","563,40"
2012.01.27.,H17,"54,90","695,90"
2012.01.27.,H18,"73,00","616,80"
2012.01.27.,H19,"72,00","609,90"
2012.01.27.,H20,"62,01","634,10"
2012.01.27.,H21,"60,00","733,10"
2012.01.27.,H22,"51,60","680,20"
2012.01.27.,H23,"50,00","628,90"
2012.01.27.,H24,"60,00","634,70"
2012.01.28.,H1,"46,98","669,00"
2012.01.28.,H2,"43,14","533,80"
2012.01.28.,H3,"38,57","650,10"
2012.01.28.,H4,"35,01","746,90"
2012.01.28.,H5,"35,00","646,20"
2012.01.28.,H6,"35,62","643,10"
2012.01.28.,H7,"38,50","686,80"
2012.01.28.,H8,"41,53","622,90"
2012.01.28.,H9,"53,01","568,20"
